-2.88624, 53.25683, "Chester Fairoaks Caravan Club Site >441513551600"
-3.14679, 53.34329, "Wirral Country Park Caravan Club Site >441516485228"
-3.02445, 53.64163, "Southport Caravan Club Site >441704565214"
-2.99829, 53.78929, "Blackpool South Caravan Club Site >441253762051"
-2.86422, 54.21552, "Meathop Fell Caravan Club Site >441539532912"
-2.75658, 54.28166, "Low Park Wood Caravan Club Site >441539560186"
-3.08354, 54.35311, "Park Coppice Caravan Club Site >441539441555"
-2.92497, 54.35698, "Braithwaite Fold Caravan Club Site >441539442177"
-3.15906, 54.55765, "Low Manesty Caravan Club Site >441768777275"
-3.41841, 54.57070, "Dockray Meadow Caravan Club Site >441946861357"
-2.95618, 54.61610, "Troutbeck Head Caravan Club Site >441768483521"
-2.80131, 54.84483, "Englethwaite Hall Caravan Club Site >441228560202"
-2.81344, 55.18164, "Lidalia Caravan Club Site >441387375819"
-2.72413, 55.59893, "Gibson Park Caravan Club Site >441896822969"
-3.26510, 55.97764, "Edinburgh Caravan Club Site >441313126874"
-2.77888, 56.05828, "Yellowcraig Caravan Club Site >441620850217"
-3.77978, 56.14150, "The Woods Caravan Park >441259762802"
-3.14111, 56.20369, "Balbirnie Park Caravan Club Site >441592759130"
-3.39445, 57.00240, "The Invercauld Caravan Club Site >441339741373"
-3.61839, 57.33474, "Grantown-On-Spey Caravan Park >441479872474"
-2.79197, 57.45190, "Huntly Castle Caravan Park >441466794999"
-3.34561, 58.61518, "Dunnet Bay Caravan Club Site >441847821319"
-2.10922, 50.60805, "Smedmore House Caravan Club Site >441929480702"
-2.02312, 50.61644, "Haycraft Caravan Club Site >441929480572"
-1.21217, 50.65989, "Southland Caravan Club Site >441983865385"
-1.41949, 50.68813, "The Orchards Holiday Caravan & Camping Park >441983531331"
-2.31682, 50.69865, "Crossways Caravan Club Site >441305852032"
-2.14498, 50.71179, "Hunter's Moon Caravan Club Site >441929556605"
-1.70439, 50.78581, "New Forest Caravan Club Centenary Site >441425673638"
-1.59541, 50.82919, "Black Knowl Caravan Club Site >441590623600"
-1.16130, 50.90656, "Rookesbury Park Caravan Club Site >441329834085"
-1.25846, 51.06208, "Morn Hill Caravan Club Site >441962869877"
-2.41576, 51.06786, "Wincanton Racecourse Caravan Club Site >44196334276"
-1.63470, 51.12178, "Hillside Caravan Club Site >441980862527"
